,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
2081,Information,5540 S. Hyde Park (Broadview),5/10/13 10:32 AM,5/9/13 3:00 PM,Problem reported with security camera,Closed,C00521
2082,Traffic Violation,1430 E. 55th St.,5/10/13 12:32 PM,5/10/13 12:32 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00522
2083,Information,5700 S. Blackstone,5/10/13 6:48 PM,5/7/13 6:50 PM,Information relating to a traffic accident / CPD HW264601,Closed,C00523
2084,Theft,5807 S. Woodlawn (Booth),5/10/13 2:56 PM,5/8/13  to 5/9/13 6:00 PM to 2:15 AM,Unknown person took secured bicycle from bike rack,Open,C00524
2085,Traffic Violation,5700 S. Cottage Grove,5/9/13 3:42 AM,5/9/13 3:42 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00516
2086,Traffic Violation,5120 S. Cornell,5/9/13 2:42 PM,5/9/13 2:42 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00517
2087,Burglary,1116 E. 59th St. (Harper),5/9/13 4:26 PM,4/29/13 to 5/1/13  11:00 PM to 2:00 AM,Various articles of clothing taken from basement / Investigation identified two known suspects / Criminal prosecution declined / Referred,Ex. Cleared / Referred,C00518
2088,Theft,5445 S. Ingleside (MacLean House Bike Rack),5/9/13 5:22 PM,5/8/13 to 5/9/13 6:00 PM to 2:00 PM,Unknown person took secured bicycle from bike rack,Open,C00519
2089,Warrant Arrest,5700 S. Maryland (CCD),5/7/13 11:48 PM,5/7/13 11:48 PM,"Subsequent to a disturbance, UCPD officers arrested a woman wanted on a warrant from Country Club Hills, IL",Arrest,C00508
2090,Theft,5630 S. University (Max Palevsky),5/8/13 12:19 AM,5/7/13 7:00 PM to 11:00 PM,Cash and UC ID taken from unattended wallet left on a table in 2nd floor student lounge,Open,C00509
2091,Theft,5815 S. Maryland (Mitchell Hospital),5/8/13 11:28 AM,5/8/13 11:10 AM to 11:15 AM,Unattended iPad left on the counter in the gift shop was taken by an unknown person / Property found by owner on 5/9/13 / not stolen,Unfounded,C00510
2092,Injured Person,1020 E. 58th St. (Main Quad),5/8/13 2:54 PM,5/1/13 7:30 AM,"Woman tripped on uneven pavement fell injuring right hand, elbow, and shoulder",Closed,C00511
2093,Theft,5530 S. Ellis (Ratner A.C.),5/7/13 11:54 AM,5/6/13 2:30 PM to 3:30 PM,Wallet and keys taken from an unsecured locker,Open,C00505
2094,Theft,1100 E. 57th St. (Regenstein Library),5/7/13 2:19 PM,1/1/11 to 5/1/12 2:20 PM to 3:00 PM,Maps taken from library collection,Open,C00506
2095,Liquor Law  Violation,5318 S. Woodlawn (Sidewalk),5/6/13 12:33 AM,5/6/13 12:33 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00499
2096,Found Property,5815 S. Maryland (Mitchell Hospital),5/6/13 10:46 AM,5/6/13 10:46 AM,Staff member found a packet of suspect narcotics / Inventoried by UCPD,Closed,C00500
2097,Void,Void,Void,Void,Number generated in error,Void,C00501
2098,Traffic Violation,1518 E. 63rd St.,5/6/13 6:06 PM,5/6/13 6:06 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00502
2099,Traffic Violation,1418 E. 53rd St.,5/5/13 12:34 AM,5/5/13 12:34 AM,UCPD officer cited a motorist for driving an uninsured vehicle with  suspended license plates ,Closed,C00492
2100,Traffic Accident,1000 E. Midway Pl.,5/5/13 12:41 AM,5/5/13 12:41 AM,Traffic Crash Report HW260790,Closed,C00493
2101,Assist Other Agency,5333 S. University,5/5/13 3:38 AM,5/5/13 3:38 AM,"UCPD officers detained three males  who were checking doors of cars parked on the street / Recovered 2 Garmin GPS devices, 2 cell phones, and a Sony tablet / CPD case HW260934",Arrest / CPD Case,C00494
2102,Found Property,5400 S. Ingleside,5/5/13 3:51 PM,5/5/13 3:51 PM,Man found laptop computer / Inventoried by UCPD,Closed,C00495
2103,Liquor Law Violation,1414 E. 59th St. (I-House),5/4/13 2:15 AM,5/4/13 2:15 AM,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00487
2104,Information,Ellis between 63rd &amp; 64th,5/4/13 2:19 AM,5/4/13 1:20 AM,"Unknown male, armed with a handgun, took property from a man walking off campus / CPD case HW259507",CPD Case,C00488
2105,Traffic Violation,4900 S. Lake Park,5/4/13 12:23 PM,5/4/13 12:33 PM,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,C00489
2106,Traffic Violation,5241 S. Drexel,5/4/13 8:22 PM,5/4/13 8:22 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00490
2107,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),5/3/13 9:02 AM,5/2/13 to 5/3/13 7:00 PM to 9:00 AM,Unknown person smashed window of vehicle parked on the 3rd level / Took a transponder,Open,C00483
2108,Theft  ,950 E. 58th St. (Mitchell Cafeteria),5/3/13 12:04 PM,5/3/13 12:04 PM,Woman took food from cafeteria without paying / Arrest by UCPD,Arrest,C00484
2109,Lost Property,Unknown location on campus,5/3/13 12:54 PM,5/2/13 4:10 PM to 5:00 PM,Cell phone lost from woman's pocket as she walked around campus,Closed,C00485
2110,Theft,5706 S. University (Reynolds Club),5/2/13 8:12 AM,4/30/13 to 5/2/13 10:30 AM to 8:10 AM,Cash box taken from secured office,Open,C00478
2111,Theft,5700 S. Maryland (Hyde Park Market),5/2/13 8:52 AM,5/2/13 8:48 AM,Woman took merchandise from retail establishment without paying / Arrested by UCPD,Arrest,C00479
2112,Theft,5758 S. Maryland (DCAM),5/2/13 3:58 PM,4/25/13 to 5/2/13 4:30 PM to 9:00 AM,iPad taken from unsecured drawer in office,Open,C00480
2113,Theft,5530 S. Ellis (Ratner A.C.),5/2/13 4:29 PM,5/1/13 to 5/2/13 6:00 PM to 3:00 PM,Two pair of running shoes taken from unsecured lockers in women's locker room,Open,C00481
2114,Disturbance,6050 S. Ingleside (Neighborhood Student Apts.),5/1/13 2:40 PM,4/28/13 10:30 AM to 4:30 PM,Neighbors dispute regarding pets,Closed,C00474
2115,Information,5500 S. Cornell,5/1/13 6:18 PM,5/1/13 6:15 PM,Male snatched cell phone from victim's hand and fled / Arrest by CPD ,Arrest CPD Case,C00475
2116,Lost Property,1020 E. 58th St. (Quad Area),5/1/13 7:37 PM,5/1/13 1:30 PM to 3:30 PM,Man believes he lost his wallet somewhere in the Main Quad area,Closed,C00476
2117,Information,5412 S. Greenwood (Stout Park),4/30/13 11:46 AM,4/30/13 2:30 AM,Unknown person snatched satchel from the hand of a person walking in the park off campus / No force used / CPD case,CPD Case,C00468
2118,Theft,5839 S. Maryland (Wyler Hospital),4/30/13 12:42 PM,4/26/13 2:30 PM to 5:00 PM,Unknown person took wallet from unattended purse left in unlocked desk in unsecured office,Open,C00469
2119,Deceptive Practice,6054 S. Drexel (Office Bldg.),4/30/13 1:29 PM,4/25/13 to 4/29/13 12:00 AM to 12:00 AM,Unknown person used victim's identity in an attempt to procure goods,Open,C00470
2120,Information,Ellis at 62nd,4/30/13 1:56 PM,4/30/16 1:45 PM,Unknown male snatched cell phone from the hand of victim walking on the sidewalk off campus / CPD HW254301,CPD Case,C00471
2121,Criminal Damage to Property,6052 S. Ingleside (Neighborhood Student Apts.),4/29/13 3:10 PM,4/29/13 11:00 AM to 2:55 PM,Unknown person damaged basement door of apartment building,Open,C00461
2122,Information,1362 E. 59th St. (Lab School),4/29/13 7:25 PM,1/1/13 to 4/1/13 12:01 AM to 11:59 PM,Allegation of a criminal sexual assault / CPD investigation revealed incident baseless / CPD HW248300,CPD Case Unfounded,C00462
2123,Information,57th between Kimbark &amp; Kenwood,4/29/13 7:22 PM,4/29/13 10:00 AM to 7:00 PM,Unsecured bicycle taken from rear porch of private apartment building / CPD case,CPD Case,C00463
2124,Traffic Violation,5200 S. Woodlawn,4/29/13 9:23 PM,4/29/13 9:23 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00464
2125,Lost Property,Between 5500 S. Hyde Park and 5640 S. University,4/28/13 7:59 PM,4/28/13 5:45 PM to 6:05 PM,Person lost wallet from jacket pocket,Closed,C00459
2126,Liquor Law Violation,5714 S. Woodlawn (Fraternity House),4/27/13 2:59 AM,4/27/13 2:59 AM,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00456
2127,Traffic Violation,6100 S. Stony Island,4/27/13 3:47 PM,4/27/13 3:47 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00457
2128,Traffic Violation,5506 S. Lake Park,4/26/13 12:22 AM,4/26/13 12:22 AM,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,C00448
2129,Traffic Violation,5300 S. Greenwood,4/26/13 9:34 AM,4/26/13 9:34 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00449
2130,Information,1100 E. 55th St.,4/26/13 9:55 AM,4/26/13 9:55 AM,Personal injury traffic accident / CPD case HW248431,CPD,C00450
2131,Information,1301 E. 55th (Public Way),4/26/13 11:54 AM,4/26/13 11:45 AM,Ill person transported to ER by CFD EMS,Closed,C00451
2132,Theft,910 E. 58th St.  (Kovler Lab),4/25/13 8:14 AM,4/19/13 7:30 AM to 1200 PM,Unknown person took a balance scale from unsecured chemical lab,Open,C00438
2133,Theft,5758 S. Maryland (DCAM),4/25/13 9:21 AM,4/24/13 to 4/25/13 3:00 PM to 8:30 AM,Personal prescription medication taken from unsecured desk drawer in secured office,Open,C00439
2134,Theft,1126 E. 59th St. (Social Science Research - Bike Rack),4/25/13 10:34 AM,4/25/13 9:00 AM to 10:30 AM,Bicycle secured to bike rack taken by an unknown person,Open,C00440
2135,Theft,935 E. 56th St. (Fermi Bike Rack),4/25/13 9:55 AM,4/24/13 to 4/25/13 5:00 PM to 9:30 AM,Secured bicycle taken from bike rack,Open,C00441
2136,Theft,924 E. 57th St. (BSLC Bike Rack),4/24/13 10:09 AM,4/23/13 to 4/24/13 7:00 PM to 10:00 AM,Unknown person took secured bicycle from bike rack,Open,C00431
2137,Theft,1100 E. 58th St. (Ryerson),4/24/13 12:14 PM,4/23/13 to 4/24/13 12:00 PM to 11:00 AM,15 toner ink cartridges taken from secured storage closet,Open,C00432
2138,Theft,1010 E. 59th St. (Classics),4/24/13 2:42 PM,4/24/13 10:00 AM to 12:00 PM,Wallet taken from unattended book bag left on a bench,Open,C00433
2139,Theft from Motor Vehicle,5827 S. Stony Island,4/24/13 3:04 PM,4/24/13 3:04 PM,UCPD officers arrested a male subject upon observing him smash the window of an unoccupied car and take a computer bag,Arrest,C00434
2140,Void,Void,Void,Void,Number generated in error,Void,C00425
2141,Information,5841 S. Maryland (UC Medicine),4/23/13 12:18 PM,4/19/13 9:00 AM,Report of receipt of suspicious letter,Closed,C00426
2142,Void,Void,Void,Void,Number generated in error,Void,C00427
2143,Information,Hyde Park between 54th &amp; 55th,4/23/13 5:55 PM,4/23/13 5:40 PM,Two unknown males used force to take cell phone from man walking on the sidewalk off campus / CPD HW244799,CPD Case,C00428
2144,Theft,5758 S. Maryland (DCAM),4/22/13 8:10 AM,4/18/13 to 4/22/13 10:00 AM to 7:45 AM,Unknown person took Playstation 2 system and DVDs from a storage closet,Open,C00418
2145,Criminal Damage to Property,5714 S. University (Fraternity House),4/22/13 12:44 PM,4/22/13 5:00 AM,Unknown persons poured an unknown substance onto two cars parked in rear parking area,Open,C00419
2146,Criminal Damage to Property,6019 S. Ingleside (Neighborhood Student Residence),4/22/13 2:22 PM,4/19/13 to 4/22/13 10:00 AM to 2:00 PM,Unknown person(s) damaged door to basement storage area,Open,C00420
2147,Lost Property,Between 57th &amp; University and 54th &amp; Maryland,4/22/13 2:59 PM,4/21/13 to 4/22/13 8:30 PM to 10:30 AM,Woman reported she lost her wallet containing cash and UC ID,Closed,C00421
2148,Traffic Violation,5509 S. Kimbark,4/21/13 1:32 AM,4/21/13 1:32 AM,UCPD officer arrested a motorist for driving with a suspended driver's license and expired vehicle registration,Arrest,C00414
2149,Traffic Violation,5855 S. Woodlawn,4/21/13 9:39 PM,4/21/13 9:39 PM,UCPD officer arrested a motorist for driving with a suspended driver's license.,Arrest,C00416
2150,Found Property,5600 S. Woodlawn,4/20/13 1:55 AM,4/20/13 1:55 AM,Resident found cell phone on the sidewalk / Inventoried at UCPD for safekeeping,Closed,C00407
2151,Medical Call,5228 S. Woodlawn (Private Residence),4/20/13 3:28 AM,4/20/13 3:28 AM,Individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Closed,C00408
2152,Criminal Damage to Vehicle,5550 S. University,4/20/13 7:29 AM,4/19/13 to 4/20/13 11:00 PM to 7:20 AM,Unknown person(s) damaged side view mirrors of two cars parked on the street / Suspect arrested and charged subsequent to UCPD investigation on 5/24/13,Arrest,C00409
2153,Assist Other Agency,6100 S. Ellis,4/20/13 1:23 PM,4/20/13 1:23 PM,UCPD officers arrested a male for Criminal Trespass to Vehicle / CPD case HW240572,Arrest,C00410
2154,Information,Unknown (Bus Route),4/19/13 12:01 AM,4/18/13 5:00 PM to 10:00 PM,Unknown person took wallet from pocket of jacket hung over the back of driver's seat while owner operated a bus,CPD Case,C00403
2155,Traffic Violation,5218 S. Ingleside,4/19/13 1:08 PM,4/19/13 1:08 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00404
2156,Traffic Violation,5611 S. Cottage Grove,4/19/13 8:58 PM,4/19/13 8:58 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00405
2157,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1366261200,,,,,,
2158,Traffic Violation,5400 S. Cottage Grove,4/16/13 11:35 PM,4/16/13 11:35 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00395
2159,Attempt Robbery,57th between Drexel and Ellis,4/17/13 2:23 AM,4/17/13 2:05 AM,Unknown male forcibly attempted to take a back pack from a victim walking on the sidewalk,Open,C00396
2160,Theft,1212 E. 59th St. (Ida Noyes),4/17/13 12:42 PM,4/12/13  12:00 PM to 3:00 PM,Unattended cash box taken from table in lobby,Open,C00397
2161,Theft,915 E. 60th St. (Logan Center Bike Rack),4/17/13 2:39 PM,4/11/13 to 4/16/13 6:05 PM to 10:00 AM,Secured bicycle taken from bike rack,Open,C00398
2162,Theft,5758 S. Maryland (DCAM),4/16/13 9:09 AM,4/15/13 to 4/16/13 5:30 PM to 9:00 AM,Computer taken from unsecured office,Open,C00391
2163,Theft,5700 S. Maryland (CCD - Café),4/16/13 3:50 PM,4/16/13 2:30 PM to 3:45 PM,Woman left her purse unattended in café / Returned to find someone had taken the purse,Open,C00392
2164,Aggravated Assault,5815 S. Maryland (Mitchell Hospital),4/16/13 5:08 PM,4/16/13 5:05 PM,Two male acquaintances became involved in an argument after visiting a patient / One subject threatened to cut the other / Arrested by UCPD,Arrest,C00393
2165,Warrant Arrest,6100 S. Blackstone,4/15/13 1:07 AM,4/15/13 1:07 AM,UCPD officers arrested a man wanted on a warrant from DuPage County,Arrest,C00387
2166,Theft,5758 S. Maryland (DCAM),4/15/13 7:40 AM,4/12/13 to 4/15/13 4:00 PM to 7:40 AM,Gym shoes taken from an unsecured locker,Open,C00388
2167,Information,Woodlawn between 54th &amp; 55th,4/15/13 10:26 AM,4/13/13 to 4/14/13 10:00 PM to 1:00 AM,Unknown person took victim's wallet containing UC ID while she attended a party at a private residence off campus,CPD Case,C00389
2168,Armed Robbery,University between 56th &amp; 57th,4/14/13 5:54 AM,4/14/13 5:25 AM,"Two unknown males, one armed with a handgun, took property from two victims walking on the sidewalk /Suspects fled in a black mid-size vehicle",Open,C00380
2169,Lost Property,5540 S. Hyde Park to 6031 S. Ellis,4/14/13 10:19 AM,4/14/13 1:00 AM to 2:00 AM,Woman reports losing iPhone ,Closed,C00381
2170,Traffic Violation,6300 S. Ellis,4/14/13 2:27 PM,4/14/13 2:27 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00382
2171,Theft,901 E. 58th St. (Mitchell Cafeteria),4/14/13 3:36 PM,4/14/13 12:30 PM to 2:30 PM,Unattended cell phone left on table in cafeteria taken by unknown person / Phone found in cafeteria and returned to owner,Unfounded,C00383
2172,Liquor Law Violation,6031 S. Ellis (South Campus Res. Hall),4/13/13 1:37 AM,4/13/13 1:37 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00377
2173,Criminal Trespass to Vehicle,4300 S. Drexel,4/13/13 5:17 PM,4/13/13 5:17 PM,UCPD officers arrested a motorist driving a vehicle that had been reported stolen to Chicago police / CPD HW224305,Arrest,C00378
2174,Traffic Violation,1335 E. 53rd St.,4/12/13 1:06 AM,4/12/13 1:06 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00373
2175,Traffic Violation,6200 S. Stony Island,4/12/13 9:33 AM,4/12/13 9:33 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00374
2176,Theft from Motor Vehicle,5514 S. University (Pierce Parking Lot),4/12/13 3:49PM,4/10/13 to 4/11/13 4:50 PM to 12:30 PM,Parking placard taken from interior of unsecured vehicle,Open,C00375
2177,Traffic Violation,6275 S. Woodlawn,4/11/13 2:07 AM,4/11/13 2:07 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00369
2178,Lost Property,5815 S. Maryland (Mitchell Hospital),4/11/13 2:09 PM,4/9/13 to 4/11/13 1:00 PM to 2:00 PM,Staff member reports losing his UCM ID card,Closed,C00370
2179,Void,Void,Void,Void,Report number generated in error,Void,C00371
2180,Information,Kenwood between 58th &amp; 59th,4/10/13 9:15 AM,4/8/13 9:15 AM,Report of suspicious activity by unknown individual loitering in the middle of the street,Open,C00362
2181,Theft,5748 S. Blackstone (Blackstone Hall Bike Rack),4/10/13 11:28 AM,4/9/13 to 4/10/13 5:00 PM to 9:00 AM,Bicycle secured to bike rack taken by unknown person,Open,C00363
2182,Injured Person,915 E. 60th St. (Logan Center),4/10/13 12:33 PM,4/10/13 12:15 PM,"Woman tripped while walking down stairs, fell striking her head and knee on the ground / Refused medical attention",Closed,C00364
2183,Traffic Violation,5600 S. Cottage Grove,4/10/13 4:40 PM,4/10/13 4:40 PM,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,C00365
2184,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1365483600,,,,,,
2185,Information,5500 S. Payne Dr.,4/8/13 3:00 AM,4/8/13 3:00 AM,Investigation of a subject believed to have an active warrant on file / No active warrant / Subject released,Closed,C00355
2186,Traffic Violation,1400 E. 55th St.,4/8/13 8:25 AM,4/8/13 8:25 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00356
2187,Harassing Phone Calls,6054 S. Drexel,4/8/13 8:44 AM,3/29/13 to 4/8/13 Various,Investigation of repeated harassing telephone calls,Open,C00357
2188,Information,5700 S. Drexel,4/8/13 9:25 AM,4/8/13 9:25 AM,Pedestrian struck by motor vehicle / Transported to hospital by CFD EMS / CPD Investigation,CPD Case,C00358
2189,Traffic Violation,5305 S. Maryland,4/7/13 8:14 PM,4/7/13 8:14 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00352
2190,Traffic Violation,5500 S. Harper,4/7/13 9:04 PM,4/7/13 9:04 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00353
2191,Traffic Violation,1548 E. Hyde Park,4/6/13 1:09 PM,4/6/13 1:09 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00349
2192,Traffic Violation,5400 S. Cottage Grove,4/6/13 7:41 PM,4/6/13 7:41 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00350
2193,Traffic Violation,5500 S. Cottage Grove,4/5/13 4:56 AM,4/5/13 4:56 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00346
2194,Theft,5758 S. Maryland (DCAM),4/5/13 4:18 PM,4/2/13 to 4/3/13 8:00 AM to 8:00 AM,Unattended coat taken from office,Open,C00347
2195,Void,Void,Void,Void,Number generated in error,Void,C00343
2196,Void,Void,Void,Void,Number generated in error,Void,C00344
2197,Information,5841 S. Maryland (Billings Hospital),4/3/13 1:03 PM,3/27/13 to 4/2/13 8:55 AM to 3:45 PM,Unknown person used physician's prescriptions and DEA number in attempts to procure controlled substances in pharmacies / CPD case HW218665,CPD Case,C00338
2198,Traffic Violation,5300 S. Ellis,4/3/13 1:51 PM,4/3/13 1:51 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00339
2199,Lost Property,Unknown,4/3/13 1:08 PM,3/28/13 to 3/29/13 7:00 PM to 12:00 PM,Report of lost wallet,Closed,C00340
2200,Recovered Motor Vehicle,5600 S. Dorchester,4/3/13 7:45 PM,4/3/13 7:45 PM,UCPD officers arrested three individuals riding in a vehicle that had been reported stolen to CPD / CPD case HW218178,Arrest,C00341
2201,Information,5610 S. Maryland (Street),4/2/13 12:05 PM,4/2/13 6:00 AM to 10:45 AM,Unknown person(s) took power tools from a contractor's vehicle parked on the street / CPD report HW216249,CPD Case,C00332
2202,Theft,950 E. 61st St. (Social Service Center),4/2/13 2:18 PM,4/2/13 12:00 PM to 1:00 PM,"Woman left her purse in 3rd floor restroom / Returned to find the purse had been taken by unknown person / Purse found in office, had not been stolen",Unfounded,C00333
2203,Assault,1135 E. 57th St. (Hutchinson Commons),4/2/13 4:15 PM,4/1/13 8:00 PM to 9:00 PM,Complainant reported an unknown male was verbally abusive and placed her in fear for her safety,Open,C00334
2204,Information,5815 S. Maryland (Mitchell Hospital),4/2/13 5:23 PM,4/2/13 5:23 PM,Physician reported an unknown person had attempted to obtain controlled substances using his substance control number / DEA and CPD notified / CPD HW216098,CPD Case,C00335
2205,Information / Assist Other Agency,1100 E. 55th St.,4/1/13 1:32 AM,4/1/13 1:30 AM,"UCPD assisted CPD / Two unknown males, one armed with a handgun, took property from a man walking on the sidewalk off-campus / CPD Case HW214395",CPD Case,C00323
2206,Criminal Damage to Property,5610 S. Drexel (Child Care West),4/1/13 8:05 AM,3/29/13 to 4/1/13 5:00 PM to 8:05 AM,Unknown person damaged door to storage shed in playground area,Open,C00324
2207,Injured Person,6054 S. Drexel (Public Way),4/1/13 12:41 PM,4/1/13 12:41 PM,Two women fell while walking on the public sidewalk / one injured both knees / Transported to ER by CFD EMS,Closed,C00325
2208,Theft,1100 E. 58th St. (Ryerson Lab),4/1/13 12:49 PM,3/30/13 to 4/1/13 5:00 PM to 8:00 AM,Laptop computer taken from secured office,Open,C00326
2209,Found Property,5815 S. Maryland (Mitchell Hospital),3/31/13 4:28 AM,3/31/13 4:15 AM,Staff member found suspect cannabis among patient's property / Turned over to UCPD ,Closed,C00319
2210,Traffic Violation,6400 S. Stony Island,3/31/13 12:39 PM,3/31/13 12:39 PM,UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license,Arrest,C00320
2211,Traffic Violation,1003 E. 53rd St.,3/31/13 3:04 PM,3/31/13 3:04 PM,UCPD officer arrested a motorist for driving an uninsured vehicle with a suspended driver's license,Arrest,C00321
2212,Battery / Domestic,5721 S. Maryland (Comer Hospital),3/30/13 5:25 PM,3/30/13 5:15 PM,Parents of patient involved in a verbal disagreement / Male subject then choked female / Suspect fled before police arrived,Open,C00317
2213,Traffic Violation,5000 S. Kimbark,3/29/13 10:56 AM,3/29/13 10:56 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00315
2214,Theft,5530 S. Ellis (Ratner A.C. Bike Rack),3/28/13 11:34 AM,3/28/13 10:00 AM to 11:30 AM,Unknown person took rear wheel off of a bicycle secured in the bike rack,Open,C00309
2215,Traffic Violation,1360 E. 52nd St.,3/28/13 11:37 AM,3/28/13 11:37 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00310
2216,Traffic Violation,5225 S. Ingleside,3/28/13 1:01 PM,3/28/13 1:01 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00311
2217,Theft,941 E. 54th Pl.,3/28/13 6:38 PM,3/27/13 to 3/28/13 7:00 PM to 5:00 PM,Unsecured bicycle taken from the rear of private apartment building,Open,C00312
2218,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1364360400,,,,,,
2219,Information,5530 S. Ellis (Ratner),3/26/13 11:15 AM,3/26/13 11:10 AM,"Cell phone, misplaced in washroom, was located and recovered by the owner",Closed,C00306
2220,Traffic Violation,5900 S. Cottage Grove,3/26/13 12:52 PM,3/26/13 12:52 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00307
2221,Theft,5706 S. University (Reynolds Club),3/25/13 8:48 AM,3/19/13 to 3/25/13 9:00 AM to 8:40 AM,Unknown person took 40 ft. of copper wire from electrical closet in basement of building,Open,C00302
2222,Theft,5758 S. Maryland (DCAM),3/25/13 9:22 AM,3/22/13 to 3/25/13 3:30 PM to 8:00 AM,Unknown person took two laptop computers from a secured office,Open,C00303
2223,Traffic Violation,5500 S. Lake Park,3/25/13 8:49 PM,3/25/13 8:49 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00304
2224,Traffic Violation,5300 S. Blackstone,3/24/13 8:49 PM,3/24/13 8:49 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00300
2225,Liquor Law Violation,1101 E. 56th St. (Max Palevsky),3/23/13 12:37 AM,3/23/13 12:37 AM,Underage person fell in hallway striking his head on the wall after consuming alcoholic beverages / Transported to ER by CFD EMS for treatment,Referred,C00294
2226,Traffic Violation,5600 S. Lake Park,3/23/13 12:41 AM,3/23/13 12:41 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00295
2227,Traffic Violation,1385 E. Midway Pl.,3/23/13 12:49 AM,3/23/13 12:49 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00296
2228,Traffic Violation,5100 S. Lake Park,3/23/13 2:34 PM,3/23/13 2:34 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00297
2229,Traffic Violation,860 E. 61st St.,3/22/13 7:48 PM,3/22/13 7:48 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00292
2230,Void,Void,Void,Void,Number generated in error,Void,C00291
2231,Traffic Violation,780 E. 63rd St.,3/20/13 12:19 AM,3/20/13 12:19 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00288
2232,Lost Property,6054 S. Drexel,3/20/13 5:43 PM,2/26/13 to 3/15/13 12:00 PM to 6:00 PM,Report of lost UC Blackberry cell phone,Closed,C00289
2233,Traffic Violation,5500 S. Cottage Grove,3/19/13 3:02 AM,3/19/13 3:02 AM,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,C00284
2234,Harassment by Electronic Means,5801 S. Ellis,3/19/13 12:02 PM,2/17/12 to 3/16/13 Various,Report of numerous harassing e-mail messages / Complainant refused to prosecute,Ex. Cleared,C00285
2235,Traffic Violation,5500 S. Lake Park,3/19/13 10:48 PM,3/19/13 10:48 PM,UCPD officer arrested a motorist for driving an uninsured vehicle without a valid driver's license,Arrest,C00286
2236,Traffic Violation,5500 S. Kimbark,3/18/13 12:33 PM,3/18/13 12:33 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00280
2237,Traffic Violation,5800 S. Kimbark,3/18/13 2:55 PM,3/18/13 2:55 PM,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,C00281
2238,Theft,5815 S. Maryland (Mitchell Hospital),3/18/13 5:21 PM,3/14/13 8:45 AM to 12:30 PM,iPhone taken from bedside table in patient's room,Open,C00282
